MerchantID,MerchantName,Location,TransactionID,Category,TransactionAmount,AnomalyScore,Timestamp
2001.0,Merchant 2001,Location 2001,816.0,Online,54.40216527,0.209245577,03-02-2022 23:00
2002.0,Merchant 2002,Location 2002,,,,,
2003.0,Merchant 2003,Location 2003,,,,,
2004.0,Merchant 2004,Location 2004,430.0,Retail,77.48594613,0.096967658,18-01-2022 21:00
2004.0,Merchant 2004,Location 2004,623.0,Food,99.09515145,0.840506175,26-01-2022 22:00
2005.0,Merchant 2005,Location 2005,262.0,Retail,18.32717405,0.387238275,11-01-2022 21:00
2006.0,Merchant 2006,Location 2006,,,,,
2007.0,Merchant 2007,Location 2007,11.0,Other,23.89562271,0.083455395,01-01-2022 10:00
2007.0,Merchant 2007,Location 2007,251.0,Retail,78.56612335,0.64936662,11-01-2022 10:00
2007.0,Merchant 2007,Location 2007,511.0,Other,29.48543442,0.255605526,22-01-2022 06:00
2007.0,Merchant 2007,Location 2007,910.0,Food,93.89654711,0.661051389,07-02-2022 21:00
2008.0,Merchant 2008,Location 2008,572.0,Online,23.83070313,0.615792114,24-01-2022 19:00
2009.0,Merchant 2009,Location 2009,,,,,
2010.0,Merchant 2010,Location 2010,92.0,Food,33.83842064,0.11038652,04-01-2022 19:00
2010.0,Merchant 2010,Location 2010,985.0,Online,99.52235673,0.85895997,11-02-2022 00:00
2011.0,Merchant 2011,Location 2011,146.0,Food,33.87159912,0.096384987,07-01-2022 01:00
2012.0,Merchant 2012,Location 2012,756.0,Retail,17.04814954,0.284793249,01-02-2022 11:00
2013.0,Merchant 2013,Location 2013,295.0,Food,22.6547138,0.797905003,13-01-2022 06:00
2013.0,Merchant 2013,Location 2013,823.0,Other,47.24146112,0.565657333,04-02-2022 06:00
2014.0,Merchant 2014,Location 2014,645.0,Retail,40.90228683,0.027235597,27-01-2022 20:00
2015.0,Merchant 2015,Location 2015,861.0,Travel,13.51324149,0.244505595,05-02-2022 20:00
2016.0,Merchant 2016,Location 2016,711.0,Travel,42.58808483,0.764401617,30-01-2022 14:00
2017.0,Merchant 2017,Location 2017,,,,,
2018.0,Merchant 2018,Location 2018,,,,,
2019.0,Merchant 2019,Location 2019,460.0,Retail,23.30461399,0.414738295,20-01-2022 03:00
2020.0,Merchant 2020,Location 2020,305.0,Food,44.03294777,0.371873764,13-01-2022 16:00
2020.0,Merchant 2020,Location 2020,308.0,Online,74.97224621,0.767732035,13-01-2022 19:00
2021.0,Merchant 2021,Location 2021,,,,,
2022.0,Merchant 2022,Location 2022,658.0,Online,86.59049845,0.612981294,28-01-2022 09:00
2023.0,Merchant 2023,Location 2023,217.0,Travel,79.68450092,0.485599952,10-01-2022 00:00
2023.0,Merchant 2023,Location 2023,269.0,Travel,36.1555284,0.740778862,12-01-2022 04:00
2023.0,Merchant 2023,Location 2023,605.0,Other,80.11902469,0.839810095,26-01-2022 04:00
2024.0,Merchant 2024,Location 2024,878.0,Online,50.91665733,0.848026032,06-02-2022 13:00
2025.0,Merchant 2025,Location 2025,164.0,Other,21.20038562,0.329252846,07-01-2022 19:00
2026.0,Merchant 2026,Location 2026,,,,,
2027.0,Merchant 2027,Location 2027,100.0,Other,94.00734126,0.337485994,05-01-2022 03:00
2028.0,Merchant 2028,Location 2028,416.0,Food,55.21552027,0.828533445,18-01-2022 07:00
2028.0,Merchant 2028,Location 2028,549.0,Food,25.07008359,0.358616666,23-01-2022 20:00
2029.0,Merchant 2029,Location 2029,,,,,
2030.0,Merchant 2030,Location 2030,,,,,
2031.0,Merchant 2031,Location 2031,,,,,
2032.0,Merchant 2032,Location 2032,,,,,
2033.0,Merchant 2033,Location 2033,59.0,Food,61.36996559,0.688946088,03-01-2022 10:00
2033.0,Merchant 2033,Location 2033,253.0,Travel,15.05352197,0.510508167,11-01-2022 12:00
2034.0,Merchant 2034,Location 2034,879.0,Food,44.37912364,0.334052793,06-02-2022 14:00
2035.0,Merchant 2035,Location 2035,,,,,
2036.0,Merchant 2036,Location 2036,76.0,Food,92.08992059,0.4885878,04-01-2022 03:00
2036.0,Merchant 2036,Location 2036,986.0,Other,89.97236176,0.285602872,11-02-2022 01:00
2037.0,Merchant 2037,Location 2037,806.0,Other,18.32519609,0.519376548,03-02-2022 13:00
2037.0,Merchant 2037,Location 2037,998.0,Food,64.21004551,0.367740211,11-02-2022 13:00
2038.0,Merchant 2038,Location 2038,69.0,Retail,40.11881406,0.713295607,03-01-2022 20:00
2038.0,Merchant 2038,Location 2038,293.0,Travel,79.28311196,0.296190375,13-01-2022 04:00
2038.0,Merchant 2038,Location 2038,519.0,Other,49.41620363,0.325068691,22-01-2022 14:00
2039.0,Merchant 2039,Location 2039,290.0,Travel,69.59584397,0.919952047,13-01-2022 01:00
2040.0,Merchant 2040,Location 2040,250.0,Retail,21.65134655,0.870231178,11-01-2022 09:00
2041.0,Merchant 2041,Location 2041,,,,,
2042.0,Merchant 2042,Location 2042,,,,,
2043.0,Merchant 2043,Location 2043,952.0,Online,80.34022583,0.9136424,09-02-2022 15:00
2044.0,Merchant 2044,Location 2044,912.0,Other,17.61699798,0.99192332,07-02-2022 23:00
2045.0,Merchant 2045,Location 2045,732.0,Online,20.57996238,0.467342903,31-01-2022 11:00
2046.0,Merchant 2046,Location 2046,,,,,
2047.0,Merchant 2047,Location 2047,,,,,
2048.0,Merchant 2048,Location 2048,718.0,Retail,76.90995524,0.507331327,30-01-2022 21:00
2049.0,Merchant 2049,Location 2049,407.0,Online,46.30974958,0.342783547,17-01-2022 22:00
2050.0,Merchant 2050,Location 2050,883.0,Retail,12.84518823,0.427178633,06-02-2022 18:00
2051.0,Merchant 2051,Location 2051,353.0,Other,49.05614325,0.034554117,15-01-2022 16:00
2051.0,Merchant 2051,Location 2051,625.0,Retail,93.48532682,0.146960704,27-01-2022 00:00
2052.0,Merchant 2052,Location 2052,,,,,
2053.0,Merchant 2053,Location 2053,,,,,
2054.0,Merchant 2054,Location 2054,96.0,Retail,26.19635169,0.495002455,04-01-2022 23:00
2055.0,Merchant 2055,Location 2055,89.0,Retail,77.76328615,0.440290753,04-01-2022 16:00
2055.0,Merchant 2055,Location 2055,265.0,Food,29.78245575,0.493308319,12-01-2022 00:00
2056.0,Merchant 2056,Location 2056,,,,,
2057.0,Merchant 2057,Location 2057,794.0,Other,11.82961471,0.175377969,03-02-2022 01:00
2057.0,Merchant 2057,Location 2057,840.0,Travel,30.30344306,0.950089781,04-02-2022 23:00
2058.0,Merchant 2058,Location 2058,,,,,
2059.0,Merchant 2059,Location 2059,706.0,Travel,43.64841567,0.463674585,30-01-2022 09:00
2060.0,Merchant 2060,Location 2060,457.0,Online,47.84000802,0.071081058,20-01-2022 00:00
2061.0,Merchant 2061,Location 2061,,,,,
2062.0,Merchant 2062,Location 2062,,,,,
2063.0,Merchant 2063,Location 2063,,,,,
2064.0,Merchant 2064,Location 2064,,,,,
2065.0,Merchant 2065,Location 2065,213.0,Food,75.32893872,0.446327303,09-01-2022 20:00
2066.0,Merchant 2066,Location 2066,526.0,Food,45.90027099,0.14327047,22-01-2022 21:00
